"","var","rel.inf"
"ThirdParty_Info_Period2_6","ThirdParty_Info_Period2_6",3.74612191682996
"ThirdParty_Info_Period1_6","ThirdParty_Info_Period1_6",2.82893467297572
"ThirdParty_Info_Period4_15","ThirdParty_Info_Period4_15",2.75406127805266
"WeblogInfo_20","WeblogInfo_20",2.72950757876001
"ThirdParty_Info_Period2_2","ThirdParty_Info_Period2_2",2.62666639562905
"ThirdParty_Info_Period3_3","ThirdParty_Info_Period3_3",2.57265126230079
"ThirdParty_Info_Period2_13","ThirdParty_Info_Period2_13",2.4578849070545
"ThirdParty_Info_Period2_15","ThirdParty_Info_Period2_15",2.42037156626805
"ThirdParty_Info_Period5_5","ThirdParty_Info_Period5_5",2.33433341145977
"WeblogInfo_15","WeblogInfo_15",2.23931569369214
"UserInfo_14","UserInfo_14",2.07903446660619
"ThirdParty_Info_Period3_8","ThirdParty_Info_Period3_8",2.06150478381772
"ThirdParty_Info_Period4_2","ThirdParty_Info_Period4_2",2.02047909644325
"ThirdParty_Info_Period2_8","ThirdParty_Info_Period2_8",2.00686036183607
"ThirdParty_Info_Period2_17","ThirdParty_Info_Period2_17",1.98938936946647
"ThirdParty_Info_Period1_8","ThirdParty_Info_Period1_8",1.97680085437879
"ThirdParty_Info_Period1_15","ThirdParty_Info_Period1_15",1.94483731857979
"ThirdParty_Info_Period4_5","ThirdParty_Info_Period4_5",1.93014725921766
"ThirdParty_Info_Period2_1","ThirdParty_Info_Period2_1",1.91981412919479
"ThirdParty_Info_Period5_1","ThirdParty_Info_Period5_1",1.91095880562187
"ThirdParty_Info_Period2_3","ThirdParty_Info_Period2_3",1.6990307615856
"ThirdParty_Info_Period5_3","ThirdParty_Info_Period5_3",1.60492647322337
"ThirdParty_Info_Period1_13","ThirdParty_Info_Period1_13",1.60358358324114
"ThirdParty_Info_Period3_15","ThirdParty_Info_Period3_15",1.58983081278271
"ThirdParty_Info_Period4_6","ThirdParty_Info_Period4_6",1.55586424433211
"ThirdParty_Info_Period5_6","ThirdParty_Info_Period5_6",1.49495613248443
"ThirdParty_Info_Period4_14","ThirdParty_Info_Period4_14",1.48197384856942
"ThirdParty_Info_Period1_3","ThirdParty_Info_Period1_3",1.47547052120224
"ThirdParty_Info_Period2_11","ThirdParty_Info_Period2_11",1.47330672249765
"ThirdParty_Info_Period6_1","ThirdParty_Info_Period6_1",1.4718590015833
"ThirdParty_Info_Period3_2","ThirdParty_Info_Period3_2",1.46406806896509
"ThirdParty_Info_Period5_15","ThirdParty_Info_Period5_15",1.36722692657613
"ThirdParty_Info_Period5_14","ThirdParty_Info_Period5_14",1.33243015236556
"ThirdParty_Info_Period5_8","ThirdParty_Info_Period5_8",1.32641512751926
"UserInfo_16","UserInfo_16",1.32523780946561
"ThirdParty_Info_Period5_2","ThirdParty_Info_Period5_2",1.25225222961431
"ThirdParty_Info_Period6_5","ThirdParty_Info_Period6_5",1.24693969998132
"ThirdParty_Info_Period3_1","ThirdParty_Info_Period3_1",1.23107661994888
